scholarship_id,scholarship_name,provider,category,education_level,min_marks_required,income_limit,scholarship_amount,state,deadline,application_mode
1515,Ministry Scholars Program 1515,Ministry of Education,Merit + Need,PhD,64,800000,50000,Uttar Pradesh,2026-11-29,Online
1516,HDFC Scholars Program 1516,HDFC Bank,Category-Based,Undergraduate,76,800000,75000,Tamil Nadu,2026-08-12,Online/Offline
1517,Reliance Scholars Program 1517,Reliance Foundation,Need-Based,PhD,80,500000,10000,Maharashtra,2026-05-02,Online/Offline
1518,Reliance Scholars Program 1518,Reliance Foundation,Merit,Postgraduate,85,500000,150000,Karnataka,2026-10-25,Online/Offline
1519,LIC Scholars Program 1519,LIC India,Need-Based,School,89,300000,150000,Tamil Nadu,2026-08-21,Online/Offline
1520,Sitaram Scholars Program 1520,Sitaram Jindal Foundation,Category-Based,School,62,200000,100000,Karnataka,2026-06-27,Online
1521,ONGC Scholars Program 1521,ONGC Foundation,Merit + Need,PhD,54,300000,50000,Madhya Pradesh,2026-12-17,Online
1522,Ministry Scholars Program 1522,Ministry of Education,Need-Based,Postgraduate,61,800000,150000,Gujarat,2026-08-23,Online
1523,Tata Scholars Program 1523,Tata Capital,Merit,PhD,65,800000,50000,Delhi,2026-06-08,Online/Offline
1524,LIC Scholars Program 1524,LIC India,Need-Based,Postgraduate,90,200000,100000,Tamil Nadu,2026-05-20,Online/Offline
1525,Tata Scholars Program 1525,Tata Capital,Merit + Need,Postgraduate,58,300000,25000,Uttar Pradesh,2026-08-01,Online
1526,Reliance Scholars Program 1526,Reliance Foundation,Merit + Need,PhD,59,300000,200000,Madhya Pradesh,2026-09-26,Online/Offline
1527,ONGC Scholars Program 1527,ONGC Foundation,Merit + Need,School,59,500000,100000,Rajasthan,2026-10-03,Online/Offline
1528,Infosys Scholars Program 1528,Infosys Foundation,Merit + Need,Undergraduate,53,250000,10000,Rajasthan,2026-10-04,Online
1529,HDFC Scholars Program 1529,HDFC Bank,Need-Based,Undergraduate,59,300000,10000,Madhya Pradesh,2026-12-09,Online/Offline
1530,LIC Scholars Program 1530,LIC India,Category-Based,Undergraduate,55,300000,25000,Delhi,2026-10-17,Online/Offline
1531,Aditya Scholars Program 1531,Aditya Birla Group,Category-Based,Undergraduate,67,250000,10000,Rajasthan,2026-12-29,Online/Offline
1532,Reliance Scholars Program 1532,Reliance Foundation,Merit,Postgraduate,56,800000,150000,Uttar Pradesh,2026-06-03,Online/Offline
1533,Infosys Scholars Program 1533,Infosys Foundation,Category-Based,School,85,250000,25000,Delhi,2026-08-08,Online
1534,Aditya Scholars Program 1534,Aditya Birla Group,Merit,Undergraduate,75,300000,50000,Maharashtra,2026-06-15,Online/Offline
1535,Tata Scholars Program 1535,Tata Capital,Merit,School,55,800000,200000,Gujarat,2026-09-05,Online
1536,ONGC Scholars Program 1536,ONGC Foundation,Need-Based,School,79,250000,50000,Maharashtra,2026-11-09,Online/Offline
1537,Tata Scholars Program 1537,Tata Capital,Category-Based,Undergraduate,59,800000,100000,Madhya Pradesh,2026-05-04,Online/Offline
1538,Aditya Scholars Program 1538,Aditya Birla Group,Category-Based,PhD,87,250000,10000,Delhi,2026-09-23,Online
1539,ONGC Scholars Program 1539,ONGC Foundation,Merit + Need,School,55,200000,10000,Maharashtra,2026-12-01,Online/Offline
1540,Aditya Scholars Program 1540,Aditya Birla Group,Merit + Need,Undergraduate,87,200000,100000,Delhi,2026-10-07,Online
1541,LIC Scholars Program 1541,LIC India,Need-Based,PhD,67,500000,25000,Tamil Nadu,2026-09-05,Online
1542,Aditya Scholars Program 1542,Aditya Birla Group,Merit,School,79,300000,75000,Delhi,2026-05-02,Online
1543,Aditya Scholars Program 1543,Aditya Birla Group,Need-Based,School,71,200000,100000,Karnataka,2026-06-05,Online
1544,HDFC Scholars Program 1544,HDFC Bank,Merit + Need,School,73,800000,100000,Uttar Pradesh,2026-12-02,Online/Offline
1545,Tata Scholars Program 1545,Tata Capital,Merit,Postgraduate,54,500000,100000,Maharashtra,2026-08-17,Online
1546,Tata Scholars Program 1546,Tata Capital,Category-Based,Postgraduate,71,500000,25000,Madhya Pradesh,2026-05-04,Online/Offline
1547,Infosys Scholars Program 1547,Infosys Foundation,Merit + Need,School,58,500000,200000,Delhi,2026-11-07,Online/Offline
1548,Sitaram Scholars Program 1548,Sitaram Jindal Foundation,Merit + Need,School,65,250000,100000,Delhi,2026-07-31,Online/Offline
1549,HDFC Scholars Program 1549,HDFC Bank,Category-Based,School,66,800000,150000,Maharashtra,2026-05-16,Online
1550,Aditya Scholars Program 1550,Aditya Birla Group,Category-Based,Undergraduate,53,300000,100000,Gujarat,2026-11-10,Online/Offline
1551,HDFC Scholars Program 1551,HDFC Bank,Merit + Need,School,89,500000,75000,Rajasthan,2026-07-10,Online/Offline
1552,Aditya Scholars Program 1552,Aditya Birla Group,Merit,Postgraduate,60,300000,25000,Gujarat,2026-09-17,Online
1553,Infosys Scholars Program 1553,Infosys Foundation,Merit + Need,Undergraduate,77,500000,25000,Gujarat,2026-06-21,Online/Offline
1554,Ministry Scholars Program 1554,Ministry of Education,Need-Based,PhD,82,300000,150000,Tamil Nadu,2026-10-03,Online/Offline
1555,Reliance Scholars Program 1555,Reliance Foundation,Merit + Need,Postgraduate,80,200000,200000,Madhya Pradesh,2026-12-05,Online/Offline
1556,Reliance Scholars Program 1556,Reliance Foundation,Merit + Need,School,76,200000,10000,Karnataka,2026-08-30,Online
1557,Sitaram Scholars Program 1557,Sitaram Jindal Foundation,Category-Based,Undergraduate,80,250000,75000,Uttar Pradesh,2026-12-08,Online
1558,Tata Scholars Program 1558,Tata Capital,Merit,Undergraduate,74,800000,100000,Madhya Pradesh,2026-06-27,Online/Offline
1559,ONGC Scholars Program 1559,ONGC Foundation,Category-Based,Postgraduate,81,300000,75000,Delhi,2026-06-01,Online
1560,HDFC Scholars Program 1560,HDFC Bank,Category-Based,School,68,500000,25000,Rajasthan,2026-05-07,Online
1561,Infosys Scholars Program 1561,Infosys Foundation,Merit + Need,Postgraduate,83,250000,100000,Gujarat,2026-07-25,Online/Offline
1562,HDFC Scholars Program 1562,HDFC Bank,Category-Based,Undergraduate,68,250000,150000,Delhi,2026-06-28,Online/Offline
1563,Tata Scholars Program 1563,Tata Capital,Merit,Undergraduate,50,800000,100000,Karnataka,2026-10-22,Online
1564,HDFC Scholars Program 1564,HDFC Bank,Need-Based,PhD,77,250000,150000,Delhi,2026-06-28,Online/Offline
1565,Ministry Scholars Program 1565,Ministry of Education,Category-Based,Postgraduate,81,250000,100000,Gujarat,2026-11-24,Online
1566,Tata Scholars Program 1566,Tata Capital,Need-Based,PhD,84,800000,75000,Gujarat,2026-11-27,Online
1567,LIC Scholars Program 1567,LIC India,Need-Based,School,75,250000,200000,Rajasthan,2026-10-17,Online
1568,Infosys Scholars Program 1568,Infosys Foundation,Merit,PhD,87,800000,75000,Maharashtra,2026-07-18,Online
1569,HDFC Scholars Program 1569,HDFC Bank,Category-Based,School,72,500000,150000,Uttar Pradesh,2026-11-26,Online/Offline
1570,LIC Scholars Program 1570,LIC India,Merit + Need,Undergraduate,78,800000,50000,Madhya Pradesh,2026-07-20,Online/Offline
1571,Sitaram Scholars Program 1571,Sitaram Jindal Foundation,Category-Based,Postgraduate,60,200000,150000,Maharashtra,2026-07-09,Online
1572,Aditya Scholars Program 1572,Aditya Birla Group,Category-Based,Postgraduate,73,500000,200000,Madhya Pradesh,2026-08-25,Online
1573,Bharti Scholars Program 1573,Bharti Foundation,Merit,Undergraduate,61,250000,75000,Uttar Pradesh,2026-11-04,Online/Offline
1574,Ministry Scholars Program 1574,Ministry of Education,Merit,Postgraduate,51,200000,75000,Rajasthan,2026-05-24,Online
1575,Ministry Scholars Program 1575,Ministry of Education,Need-Based,School,75,800000,50000,Gujarat,2026-09-23,Online/Offline
1576,ONGC Scholars Program 1576,ONGC Foundation,Merit,PhD,74,200000,150000,Madhya Pradesh,2026-05-24,Online/Offline
1577,Reliance Scholars Program 1577,Reliance Foundation,Category-Based,Postgraduate,90,300000,25000,Uttar Pradesh,2026-08-25,Online/Offline
1578,Ministry Scholars Program 1578,Ministry of Education,Category-Based,Postgraduate,68,300000,75000,Tamil Nadu,2026-08-15,Online/Offline
1579,Sitaram Scholars Program 1579,Sitaram Jindal Foundation,Need-Based,Undergraduate,82,300000,150000,Karnataka,2026-10-01,Online/Offline
1580,Sitaram Scholars Program 1580,Sitaram Jindal Foundation,Category-Based,School,67,200000,25000,Uttar Pradesh,2026-09-06,Online
1581,Tata Scholars Program 1581,Tata Capital,Merit,Postgraduate,61,500000,75000,Uttar Pradesh,2026-11-28,Online
1582,Bharti Scholars Program 1582,Bharti Foundation,Need-Based,School,57,250000,100000,Karnataka,2026-08-11,Online
1583,Bharti Scholars Program 1583,Bharti Foundation,Need-Based,Undergraduate,82,250000,50000,Rajasthan,2026-12-06,Online
1584,Tata Scholars Program 1584,Tata Capital,Category-Based,PhD,90,800000,50000,Delhi,2026-07-29,Online/Offline
1585,Ministry Scholars Program 1585,Ministry of Education,Need-Based,PhD,59,250000,100000,Gujarat,2026-12-26,Online/Offline
1586,ONGC Scholars Program 1586,ONGC Foundation,Merit + Need,PhD,81,800000,100000,Karnataka,2026-06-14,Online/Offline
1587,Aditya Scholars Program 1587,Aditya Birla Group,Merit,PhD,71,500000,100000,Madhya Pradesh,2026-08-02,Online
1588,Ministry Scholars Program 1588,Ministry of Education,Merit,Postgraduate,63,300000,10000,Karnataka,2026-09-15,Online
1589,Aditya Scholars Program 1589,Aditya Birla Group,Merit + Need,PhD,54,200000,25000,Madhya Pradesh,2026-12-22,Online/Offline
1590,Reliance Scholars Program 1590,Reliance Foundation,Need-Based,Postgraduate,54,500000,150000,Madhya Pradesh,2026-08-07,Online
1591,Infosys Scholars Program 1591,Infosys Foundation,Need-Based,PhD,72,500000,150000,Madhya Pradesh,2026-08-31,Online
1592,Tata Scholars Program 1592,Tata Capital,Merit,PhD,55,800000,200000,Uttar Pradesh,2026-09-16,Online
1593,Tata Scholars Program 1593,Tata Capital,Category-Based,Undergraduate,71,500000,10000,Rajasthan,2026-11-12,Online
1594,HDFC Scholars Program 1594,HDFC Bank,Merit,PhD,59,250000,200000,Gujarat,2026-11-10,Online/Offline
1595,Sitaram Scholars Program 1595,Sitaram Jindal Foundation,Merit,Postgraduate,63,200000,150000,Madhya Pradesh,2026-06-30,Online
1596,Bharti Scholars Program 1596,Bharti Foundation,Category-Based,Undergraduate,51,200000,25000,Delhi,2026-06-22,Online
1597,LIC Scholars Program 1597,LIC India,Category-Based,Postgraduate,57,250000,200000,Rajasthan,2026-05-07,Online
1598,Sitaram Scholars Program 1598,Sitaram Jindal Foundation,Merit + Need,PhD,64,300000,75000,Tamil Nadu,2026-09-09,Online/Offline
1599,Reliance Scholars Program 1599,Reliance Foundation,Merit + Need,School,88,800000,25000,Karnataka,2026-10-10,Online
1600,Aditya Scholars Program 1600,Aditya Birla Group,Merit + Need,PhD,54,200000,100000,Madhya Pradesh,2026-11-01,Online/Offline
1601,Reliance Scholars Program 1601,Reliance Foundation,Merit,Undergraduate,50,200000,25000,Madhya Pradesh,2026-12-04,Online/Offline
1602,ONGC Scholars Program 1602,ONGC Foundation,Merit,Postgraduate,85,800000,75000,Karnataka,2026-12-16,Online
1603,HDFC Scholars Program 1603,HDFC Bank,Need-Based,Undergraduate,76,300000,50000,Madhya Pradesh,2026-05-04,Online/Offline
1604,Aditya Scholars Program 1604,Aditya Birla Group,Merit,Undergraduate,50,800000,10000,Uttar Pradesh,2026-05-16,Online
1605,Tata Scholars Program 1605,Tata Capital,Category-Based,Undergraduate,73,500000,75000,Gujarat,2026-11-10,Online/Offline
1606,Infosys Scholars Program 1606,Infosys Foundation,Merit,PhD,59,200000,150000,Karnataka,2026-06-05,Online
1607,ONGC Scholars Program 1607,ONGC Foundation,Category-Based,Postgraduate,62,500000,75000,Karnataka,2026-12-20,Online
1608,Ministry Scholars Program 1608,Ministry of Education,Need-Based,PhD,89,800000,100000,Madhya Pradesh,2026-09-04,Online
1609,Infosys Scholars Program 1609,Infosys Foundation,Category-Based,Undergraduate,61,300000,100000,Uttar Pradesh,2026-10-23,Online/Offline
1610,LIC Scholars Program 1610,LIC India,Need-Based,School,50,800000,10000,Maharashtra,2026-11-13,Online
1611,Aditya Scholars Program 1611,Aditya Birla Group,Category-Based,School,87,500000,100000,Tamil Nadu,2026-07-22,Online
1612,Reliance Scholars Program 1612,Reliance Foundation,Merit,Postgraduate,81,800000,75000,Karnataka,2026-10-22,Online/Offline
1613,Reliance Scholars Program 1613,Reliance Foundation,Need-Based,Postgraduate,56,250000,100000,Uttar Pradesh,2026-08-01,Online
1614,Reliance Scholars Program 1614,Reliance Foundation,Category-Based,School,78,250000,25000,Tamil Nadu,2026-11-18,Online
1615,Tata Scholars Program 1615,Tata Capital,Merit,PhD,79,200000,100000,Delhi,2026-07-27,Online/Offline
1616,Ministry Scholars Program 1616,Ministry of Education,Merit + Need,PhD,67,250000,75000,Maharashtra,2026-10-12,Online/Offline
1617,HDFC Scholars Program 1617,HDFC Bank,Need-Based,Undergraduate,74,200000,150000,Karnataka,2026-05-06,Online/Offline
1618,LIC Scholars Program 1618,LIC India,Merit + Need,PhD,84,500000,100000,Karnataka,2026-12-27,Online/Offline
1619,Sitaram Scholars Program 1619,Sitaram Jindal Foundation,Need-Based,Undergraduate,55,800000,150000,Tamil Nadu,2026-09-15,Online
1620,LIC Scholars Program 1620,LIC India,Need-Based,Postgraduate,70,800000,100000,Gujarat,2026-06-18,Online
1621,Tata Scholars Program 1621,Tata Capital,Merit,PhD,69,800000,10000,Maharashtra,2026-07-05,Online/Offline
1622,HDFC Scholars Program 1622,HDFC Bank,Need-Based,PhD,85,250000,75000,Maharashtra,2026-05-05,Online/Offline
1623,LIC Scholars Program 1623,LIC India,Merit + Need,PhD,86,200000,25000,Rajasthan,2026-06-25,Online/Offline
1624,Infosys Scholars Program 1624,Infosys Foundation,Merit,School,66,200000,25000,Delhi,2026-05-23,Online
1625,Sitaram Scholars Program 1625,Sitaram Jindal Foundation,Need-Based,School,81,200000,75000,Delhi,2026-05-08,Online
1626,Sitaram Scholars Program 1626,Sitaram Jindal Foundation,Merit + Need,School,69,200000,100000,Karnataka,2026-05-16,Online/Offline
1627,Bharti Scholars Program 1627,Bharti Foundation,Need-Based,PhD,69,200000,75000,Karnataka,2026-05-31,Online/Offline
1628,Aditya Scholars Program 1628,Aditya Birla Group,Need-Based,Undergraduate,69,500000,200000,Uttar Pradesh,2026-07-25,Online
1629,Reliance Scholars Program 1629,Reliance Foundation,Merit + Need,Undergraduate,62,800000,200000,Madhya Pradesh,2026-08-06,Online
1630,HDFC Scholars Program 1630,HDFC Bank,Category-Based,School,72,250000,100000,Uttar Pradesh,2026-11-04,Online
1631,Infosys Scholars Program 1631,Infosys Foundation,Need-Based,Undergraduate,61,800000,75000,Karnataka,2026-12-03,Online/Offline
1632,Sitaram Scholars Program 1632,Sitaram Jindal Foundation,Merit + Need,PhD,57,800000,50000,Gujarat,2026-07-30,Online/Offline
1633,HDFC Scholars Program 1633,HDFC Bank,Need-Based,Undergraduate,65,200000,25000,Maharashtra,2026-06-09,Online/Offline
1634,Infosys Scholars Program 1634,Infosys Foundation,Need-Based,Undergraduate,64,250000,50000,Gujarat,2026-09-27,Online/Offline
1635,Ministry Scholars Program 1635,Ministry of Education,Merit,Postgraduate,88,800000,200000,Madhya Pradesh,2026-07-30,Online
1636,Infosys Scholars Program 1636,Infosys Foundation,Need-Based,Postgraduate,57,300000,100000,Maharashtra,2026-12-20,Online
1637,Aditya Scholars Program 1637,Aditya Birla Group,Merit + Need,School,60,250000,150000,Uttar Pradesh,2026-05-15,Online/Offline
1638,Infosys Scholars Program 1638,Infosys Foundation,Category-Based,Undergraduate,87,800000,50000,Tamil Nadu,2026-10-24,Online/Offline
1639,HDFC Scholars Program 1639,HDFC Bank,Merit + Need,Undergraduate,80,200000,50000,Tamil Nadu,2026-10-02,Online
1640,LIC Scholars Program 1640,LIC India,Category-Based,Postgraduate,82,300000,200000,Tamil Nadu,2026-08-05,Online
1641,ONGC Scholars Program 1641,ONGC Foundation,Need-Based,PhD,56,800000,100000,Gujarat,2026-09-16,Online/Offline
1642,ONGC Scholars Program 1642,ONGC Foundation,Category-Based,School,81,800000,100000,Maharashtra,2026-09-22,Online/Offline
1643,ONGC Scholars Program 1643,ONGC Foundation,Merit + Need,Undergraduate,79,250000,25000,Madhya Pradesh,2026-10-13,Online
1644,Ministry Scholars Program 1644,Ministry of Education,Need-Based,Undergraduate,79,500000,50000,Gujarat,2026-06-19,Online/Offline
1645,Ministry Scholars Program 1645,Ministry of Education,Need-Based,School,72,250000,150000,Tamil Nadu,2026-09-29,Online/Offline
1646,Sitaram Scholars Program 1646,Sitaram Jindal Foundation,Merit,Postgraduate,77,500000,10000,Uttar Pradesh,2026-05-06,Online
1647,HDFC Scholars Program 1647,HDFC Bank,Need-Based,PhD,72,300000,100000,Delhi,2026-09-16,Online/Offline
1648,Tata Scholars Program 1648,Tata Capital,Merit + Need,School,64,200000,50000,Karnataka,2026-09-25,Online/Offline
1649,Ministry Scholars Program 1649,Ministry of Education,Merit,Postgraduate,64,800000,50000,Maharashtra,2026-09-15,Online
1650,LIC Scholars Program 1650,LIC India,Category-Based,PhD,68,250000,50000,Gujarat,2026-05-07,Online
1651,LIC Scholars Program 1651,LIC India,Merit + Need,Postgraduate,82,800000,25000,Uttar Pradesh,2026-06-06,Online
1652,Tata Scholars Program 1652,Tata Capital,Need-Based,PhD,80,800000,150000,Gujarat,2026-11-08,Online/Offline
1653,Infosys Scholars Program 1653,Infosys Foundation,Need-Based,School,89,500000,25000,Tamil Nadu,2026-08-23,Online
1654,Ministry Scholars Program 1654,Ministry of Education,Merit + Need,Postgraduate,55,300000,75000,Uttar Pradesh,2026-12-05,Online/Offline
1655,LIC Scholars Program 1655,LIC India,Category-Based,Postgraduate,87,800000,75000,Tamil Nadu,2026-05-24,Online
1656,Ministry Scholars Program 1656,Ministry of Education,Merit + Need,Postgraduate,58,500000,100000,Delhi,2026-12-03,Online
1657,Reliance Scholars Program 1657,Reliance Foundation,Merit,School,53,500000,200000,Gujarat,2026-05-03,Online/Offline
1658,ONGC Scholars Program 1658,ONGC Foundation,Merit + Need,Undergraduate,88,800000,50000,Rajasthan,2026-06-10,Online
1659,Infosys Scholars Program 1659,Infosys Foundation,Merit,School,70,500000,75000,Tamil Nadu,2026-09-20,Online
1660,Reliance Scholars Program 1660,Reliance Foundation,Merit + Need,PhD,79,200000,150000,Gujarat,2026-10-29,Online/Offline
1661,Sitaram Scholars Program 1661,Sitaram Jindal Foundation,Merit + Need,Postgraduate,70,500000,200000,Tamil Nadu,2026-08-13,Online/Offline
1662,Sitaram Scholars Program 1662,Sitaram Jindal Foundation,Need-Based,Undergraduate,74,500000,200000,Uttar Pradesh,2026-06-17,Online/Offline
1663,Reliance Scholars Program 1663,Reliance Foundation,Merit,School,53,500000,75000,Uttar Pradesh,2026-07-12,Online
1664,Aditya Scholars Program 1664,Aditya Birla Group,Need-Based,School,68,250000,100000,Karnataka,2026-08-19,Online/Offline
1665,HDFC Scholars Program 1665,HDFC Bank,Category-Based,Postgraduate,58,250000,25000,Delhi,2026-12-16,Online
1666,Sitaram Scholars Program 1666,Sitaram Jindal Foundation,Merit,PhD,88,500000,100000,Rajasthan,2026-06-21,Online/Offline
1667,Bharti Scholars Program 1667,Bharti Foundation,Need-Based,School,88,800000,10000,Rajasthan,2026-09-23,Online
1668,Reliance Scholars Program 1668,Reliance Foundation,Need-Based,School,52,250000,10000,Gujarat,2026-09-02,Online
1669,Ministry Scholars Program 1669,Ministry of Education,Category-Based,School,69,800000,150000,Gujarat,2026-07-29,Online/Offline
1670,ONGC Scholars Program 1670,ONGC Foundation,Category-Based,School,68,500000,25000,Karnataka,2026-09-29,Online
1671,Aditya Scholars Program 1671,Aditya Birla Group,Category-Based,Undergraduate,62,800000,50000,Maharashtra,2026-06-07,Online
1672,Aditya Scholars Program 1672,Aditya Birla Group,Merit + Need,School,81,500000,50000,Gujarat,2026-09-29,Online/Offline
1673,Bharti Scholars Program 1673,Bharti Foundation,Merit + Need,PhD,73,200000,10000,Karnataka,2026-07-22,Online/Offline
1674,Aditya Scholars Program 1674,Aditya Birla Group,Merit + Need,Postgraduate,63,200000,100000,Delhi,2026-12-20,Online/Offline
1675,Sitaram Scholars Program 1675,Sitaram Jindal Foundation,Need-Based,Undergraduate,72,200000,200000,Delhi,2026-10-16,Online/Offline
1676,Tata Scholars Program 1676,Tata Capital,Need-Based,PhD,81,200000,75000,Uttar Pradesh,2026-12-05,Online/Offline
1677,Bharti Scholars Program 1677,Bharti Foundation,Need-Based,Postgraduate,66,300000,25000,Rajasthan,2026-05-16,Online/Offline
1678,Reliance Scholars Program 1678,Reliance Foundation,Category-Based,PhD,54,800000,10000,Delhi,2026-11-26,Online
1679,Sitaram Scholars Program 1679,Sitaram Jindal Foundation,Merit + Need,PhD,79,250000,75000,Delhi,2026-09-23,Online
1680,Bharti Scholars Program 1680,Bharti Foundation,Merit,Undergraduate,58,800000,10000,Rajasthan,2026-08-25,Online/Offline
1681,HDFC Scholars Program 1681,HDFC Bank,Category-Based,Postgraduate,57,300000,100000,Rajasthan,2026-08-26,Online/Offline
1682,HDFC Scholars Program 1682,HDFC Bank,Need-Based,Postgraduate,56,200000,200000,Delhi,2026-11-19,Online/Offline
1683,Tata Scholars Program 1683,Tata Capital,Merit + Need,Postgraduate,89,200000,100000,Maharashtra,2026-09-02,Online
1684,Reliance Scholars Program 1684,Reliance Foundation,Merit,Postgraduate,74,250000,150000,Gujarat,2026-11-21,Online
1685,Ministry Scholars Program 1685,Ministry of Education,Need-Based,School,60,200000,75000,Delhi,2026-09-29,Online/Offline
1686,Sitaram Scholars Program 1686,Sitaram Jindal Foundation,Need-Based,Postgraduate,53,200000,10000,Maharashtra,2026-10-04,Online/Offline
1687,ONGC Scholars Program 1687,ONGC Foundation,Category-Based,PhD,74,500000,150000,Uttar Pradesh,2026-07-31,Online/Offline
1688,Aditya Scholars Program 1688,Aditya Birla Group,Need-Based,School,67,800000,75000,Uttar Pradesh,2026-11-07,Online
1689,Reliance Scholars Program 1689,Reliance Foundation,Merit + Need,Undergraduate,58,200000,150000,Gujarat,2026-12-29,Online/Offline
1690,HDFC Scholars Program 1690,HDFC Bank,Category-Based,PhD,83,800000,150000,Karnataka,2026-09-17,Online/Offline
1691,Bharti Scholars Program 1691,Bharti Foundation,Need-Based,Undergraduate,71,800000,100000,Maharashtra,2026-09-23,Online/Offline
1692,Sitaram Scholars Program 1692,Sitaram Jindal Foundation,Category-Based,School,71,800000,50000,Delhi,2026-08-19,Online
1693,Ministry Scholars Program 1693,Ministry of Education,Category-Based,Postgraduate,59,250000,75000,Tamil Nadu,2026-05-15,Online
1694,Reliance Scholars Program 1694,Reliance Foundation,Merit,School,62,300000,100000,Tamil Nadu,2026-07-01,Online
1695,LIC Scholars Program 1695,LIC India,Category-Based,Postgraduate,51,800000,50000,Tamil Nadu,2026-11-01,Online/Offline
1696,Aditya Scholars Program 1696,Aditya Birla Group,Need-Based,Undergraduate,84,200000,50000,Karnataka,2026-12-06,Online/Offline
1697,Ministry Scholars Program 1697,Ministry of Education,Merit + Need,Undergraduate,87,300000,150000,Rajasthan,2026-10-20,Online
1698,LIC Scholars Program 1698,LIC India,Category-Based,Undergraduate,77,300000,50000,Rajasthan,2026-11-23,Online/Offline
1699,Sitaram Scholars Program 1699,Sitaram Jindal Foundation,Merit + Need,Postgraduate,77,500000,100000,Maharashtra,2026-11-10,Online/Offline
1700,Bharti Scholars Program 1700,Bharti Foundation,Need-Based,School,89,500000,75000,Karnataka,2026-08-28,Online/Offline
1701,LIC Scholars Program 1701,LIC India,Category-Based,Postgraduate,78,300000,150000,Delhi,2026-07-27,Online/Offline
1702,Sitaram Scholars Program 1702,Sitaram Jindal Foundation,Need-Based,Postgraduate,55,800000,75000,Gujarat,2026-12-01,Online/Offline
1703,Bharti Scholars Program 1703,Bharti Foundation,Need-Based,PhD,72,250000,200000,Maharashtra,2026-06-24,Online
1704,Reliance Scholars Program 1704,Reliance Foundation,Category-Based,Postgraduate,74,300000,50000,Rajasthan,2026-07-14,Online/Offline
1705,Infosys Scholars Program 1705,Infosys Foundation,Category-Based,School,85,200000,100000,Gujarat,2026-11-20,Online/Offline
1706,ONGC Scholars Program 1706,ONGC Foundation,Need-Based,Postgraduate,85,800000,50000,Madhya Pradesh,2026-09-07,Online
1707,ONGC Scholars Program 1707,ONGC Foundation,Merit + Need,School,58,800000,150000,Madhya Pradesh,2026-11-29,Online/Offline
1708,Reliance Scholars Program 1708,Reliance Foundation,Merit,Postgraduate,67,500000,50000,Gujarat,2026-09-09,Online
1709,LIC Scholars Program 1709,LIC India,Category-Based,Undergraduate,79,250000,75000,Rajasthan,2026-10-25,Online
1710,Tata Scholars Program 1710,Tata Capital,Need-Based,Postgraduate,65,250000,100000,Madhya Pradesh,2026-12-19,Online/Offline
1711,Aditya Scholars Program 1711,Aditya Birla Group,Merit,Postgraduate,71,500000,100000,Gujarat,2026-09-10,Online/Offline
1712,ONGC Scholars Program 1712,ONGC Foundation,Need-Based,Postgraduate,59,800000,75000,Uttar Pradesh,2026-08-01,Online/Offline
1713,Infosys Scholars Program 1713,Infosys Foundation,Need-Based,School,61,500000,50000,Rajasthan,2026-05-19,Online
1714,Sitaram Scholars Program 1714,Sitaram Jindal Foundation,Merit + Need,School,81,300000,100000,Karnataka,2026-06-22,Online/Offline
1715,Sitaram Scholars Program 1715,Sitaram Jindal Foundation,Merit,School,66,200000,200000,Rajasthan,2026-10-07,Online
1716,Bharti Scholars Program 1716,Bharti Foundation,Merit,Postgraduate,60,300000,25000,Rajasthan,2026-05-16,Online
1717,Ministry Scholars Program 1717,Ministry of Education,Merit + Need,PhD,70,250000,50000,Karnataka,2026-12-27,Online
1718,Ministry Scholars Program 1718,Ministry of Education,Merit + Need,School,69,500000,50000,Uttar Pradesh,2026-07-11,Online/Offline
1719,Reliance Scholars Program 1719,Reliance Foundation,Merit,Undergraduate,62,500000,100000,Uttar Pradesh,2026-12-03,Online
1720,Bharti Scholars Program 1720,Bharti Foundation,Category-Based,PhD,68,500000,100000,Gujarat,2026-06-30,Online
1721,Sitaram Scholars Program 1721,Sitaram Jindal Foundation,Need-Based,Postgraduate,74,300000,150000,Tamil Nadu,2026-10-25,Online/Offline
1722,Sitaram Scholars Program 1722,Sitaram Jindal Foundation,Merit,PhD,70,300000,25000,Karnataka,2026-09-12,Online/Offline
1723,LIC Scholars Program 1723,LIC India,Merit,Postgraduate,86,250000,10000,Madhya Pradesh,2026-11-29,Online
1724,ONGC Scholars Program 1724,ONGC Foundation,Category-Based,School,68,200000,10000,Tamil Nadu,2026-09-03,Online
1725,LIC Scholars Program 1725,LIC India,Need-Based,School,58,300000,10000,Maharashtra,2026-05-30,Online/Offline
1726,Tata Scholars Program 1726,Tata Capital,Merit + Need,Postgraduate,69,500000,200000,Delhi,2026-11-17,Online/Offline
1727,Aditya Scholars Program 1727,Aditya Birla Group,Need-Based,Undergraduate,77,200000,50000,Madhya Pradesh,2026-05-02,Online
1728,Tata Scholars Program 1728,Tata Capital,Category-Based,PhD,90,250000,150000,Tamil Nadu,2026-10-07,Online/Offline
1729,Sitaram Scholars Program 1729,Sitaram Jindal Foundation,Merit,Postgraduate,50,500000,200000,Gujarat,2026-10-23,Online
1730,Tata Scholars Program 1730,Tata Capital,Need-Based,Undergraduate,76,800000,25000,Madhya Pradesh,2026-10-05,Online
1731,Sitaram Scholars Program 1731,Sitaram Jindal Foundation,Merit,Undergraduate,83,800000,150000,Gujarat,2026-11-13,Online
